cx,cy,trees,placements,treeBases,landMin,landMax,relief,maxTreeExtent
-39,-20,4,4,3,18024.0,19456.0,1432.0,1101.2
-39,-19,2,2,2,16152.0,18864.0,2712.0,1101.2
-38,0,1,1,1,15344.0,17776.0,2432.0,915.9
-38,1,5,5,3,16368.0,19176.0,2808.0,1101.2
-38,2,3,4,1,17736.0,20480.0,2744.0,915.9
-38,5,6,6,4,15832.0,18024.0,2192.0,1101.2
-38,6,2,2,1,15056.0,16288.0,1232.0,712.9
-38,7,2,2,1,14648.0,16552.0,1904.0,835.0
-38,25,1,1,1,11928.0,12440.0,512.0,1101.2
-38,26,2,2,2,11568.0,12368.0,800.0,835.0
-38,27,2,2,1,11568.0,12408.0,840.0,1101.2
-38,-26,1,1,1,15896.0,17432.0,1536.0,712.9
-38,-25,4,4,3,16560.0,18928.0,2368.0,1101.2
-38,-24,4,4,2,17984.0,19792.0,1808.0,1101.2
-38,-23,3,3,3,18040.0,19976.0,1936.0,1101.2
-38,-22,3,3,2,18984.0,20208.0,1224.0,1101.2
-38,-21,5,5,3,18240.0,20112.0,1872.0,1007.8
-38,-20,1,1,1,16568.0,18872.0,2304.0,1007.8
-38,-19,3,3,2,15032.0,18160.0,3128.0,835.0
-37,0,1,1,1,13520.0,16400.0,2880.0,1101.2
-37,1,5,5,4,14056.0,17928.0,3872.0,1101.2
-37,2,2,3,2,14840.0,18208.0,3368.0,1101.2
-37,3,2,2,2,15264.0,18176.0,2912.0,915.9
-37,4,9,9,4,16384.0,17888.0,1504.0,1101.2
-37,5,7,7,4,15480.0,17024.0,1544.0,1007.8
-37,6,2,2,1,14520.0,16680.0,2160.0,1101.2
-37,7,1,1,1,13608.0,15192.0,1584.0,1101.2
-37,8,2,2,2,14448.0,16936.0,2488.0,1101.2
-37,9,6,6,3,15896.0,17264.0,1368.0,1007.8
-37,10,5,5,2,15896.0,17464.0,1568.0,835.0
-37,11,2,2,2,15200.0,16928.0,1728.0,1007.8
-37,12,1,1,1,14488.0,16736.0,2248.0,1007.8
-37,24,1,1,1,11256.0,12064.0,808.0,1101.2
-37,25,1,1,1,11784.0,12104.0,320.0,835.0
-37,26,1,1,1,11416.0,12048.0,632.0,1007.8
-37,27,3,3,3,11096.0,11904.0,808.0,1101.2
-37,28,6,6,4,11112.0,11848.0,736.0,1101.2
-37,-26,4,4,4,16552.0,17528.0,976.0,1101.2
-37,-25,2,3,2,16536.0,19016.0,2480.0,1007.8
-37,-24,1,1,1,16560.0,18960.0,2400.0,1007.8
-37,-23,9,9,5,17256.0,19048.0,1792.0,1101.2
-37,-22,2,2,2,16536.0,19472.0,2936.0,1007.8
-37,-21,10,11,4,16872.0,19528.0,2656.0,1101.2
-37,-20,1,1,1,16208.0,18680.0,2472.0,835.0
-37,-11,3,3,2,10448.0,11680.0,1232.0,1007.8
-37,-10,5,5,2,11184.0,12536.0,1352.0,1007.8
-37,-9,9,9,4,11608.0,12568.0,960.0,1101.2
-37,-1,1,1,1,12896.0,15392.0,2496.0,1007.8
-36,0,3,3,2,12208.0,14656.0,2448.0,1007.8
-36,1,4,4,2,12368.0,14840.0,2472.0,1007.8
-36,2,2,2,1,12464.0,15304.0,2840.0,1101.2
-36,3,1,2,1,12864.0,17432.0,4568.0,915.9
-36,4,6,6,3,14504.0,17432.0,2928.0,1101.2
-36,5,8,9,4,13904.0,16536.0,2632.0,1101.2
-36,6,4,4,3,13344.0,16344.0,3000.0,1326.5
-36,7,3,3,3,12624.0,14728.0,2104.0,1101.2
-36,8,3,3,2,13200.0,16056.0,2856.0,835.0
-36,9,6,6,3,13736.0,16272.0,2536.0,1007.8
-36,10,4,4,3,14256.0,16120.0,1864.0,1101.2
-36,11,2,2,2,15112.0,17328.0,2216.0,1101.2
-36,12,8,8,4,16272.0,17792.0,1520.0,1101.2
-36,14,3,3,2,16200.0,19216.0,3016.0,835.0
-36,20,2,2,2,11160.0,12784.0,1624.0,1101.2
-36,21,3,3,2,10512.0,11632.0,1120.0,1007.8
-36,25,6,6,3,11544.0,11920.0,376.0,1007.8
