cx,cy,trees,placements,treeBases,landMin,landMax,relief,maxTreeExtent
-20,24,45,48,7,7336.0,8848.0,1512.0,915.9
-20,25,39,40,13,8160.0,9800.0,1640.0,915.9
-20,26,56,56,12,8720.0,10560.0,1840.0,915.9
-20,27,31,31,10,9704.0,11272.0,1568.0,915.9
-20,28,49,51,13,9864.0,11936.0,2072.0,915.9
-20,29,31,31,11,10616.0,12200.0,1584.0,915.9
-20,30,47,47,11,10080.0,12072.0,1992.0,915.9
-19,24,41,53,8,7232.0,8456.0,1224.0,1007.8
-19,25,34,35,9,8136.0,9888.0,1752.0,1183.3
-19,26,62,62,9,9248.0,10264.0,1016.0,1183.3
-19,27,15,18,5,9808.0,10872.0,1064.0,915.9
-19,28,42,42,12,10648.0,11288.0,640.0,915.9
-19,29,38,38,13,10808.0,11352.0,544.0,915.9
-19,30,49,49,12,10264.0,11440.0,1176.0,915.9
-18,24,50,50,12,7224.0,8144.0,920.0,915.9
-18,25,38,38,11,7968.0,9256.0,1288.0,1183.3
-18,26,65,66,13,8624.0,10264.0,1640.0,915.9
-18,27,22,23,7,9736.0,10728.0,992.0,1183.3
-18,28,30,32,12,9576.0,11096.0,1520.0,915.9
-18,29,52,52,13,10440.0,11232.0,792.0,915.9
-18,30,33,33,13,10600.0,11376.0,776.0,915.9
-18,31,5,5,5,9552.0,11008.0,1456.0,915.9
-17,24,36,37,14,7280.0,8184.0,904.0,1101.2
-17,25,34,34,9,7968.0,9256.0,1288.0,1007.8
-17,26,61,62,14,8856.0,10248.0,1392.0,1007.8
-17,27,23,23,8,9824.0,10328.0,504.0,1183.3
-17,28,26,27,10,9592.0,10696.0,1104.0,915.9
-17,29,53,53,13,10400.0,11224.0,824.0,915.9
-17,30,26,26,10,10728.0,11408.0,680.0,915.9
-17,31,25,25,12,10264.0,11328.0,1064.0,915.9
-16,24,50,52,18,7024.0,8664.0,1640.0,1326.5
-16,25,35,37,13,8184.0,9928.0,1744.0,1007.8
-16,26,56,59,11,9256.0,10000.0,744.0,1101.2
-16,27,22,24,9,9424.0,10216.0,792.0,1101.2
-16,28,42,43,11,9536.0,10632.0,1096.0,915.9
-16,29,40,40,10,10096.0,11096.0,1000.0,915.9
-16,30,41,41,13,9736.0,11240.0,1504.0,915.9
-16,31,8,8,5,9568.0,11160.0,1592.0,915.9
-15,24,86,87,16,7224.0,8944.0,1720.0,915.9
-15,25,49,50,15,8536.0,9824.0,1288.0,1007.8
-15,26,39,40,8,8712.0,9856.0,1144.0,915.9
-15,27,41,41,11,8792.0,10176.0,1384.0,1326.5
-15,28,36,36,12,9032.0,10296.0,1264.0,915.9
-15,29,20,20,9,9040.0,10248.0,1208.0,915.9
-15,30,14,14,9,9096.0,10096.0,1000.0,915.9
-15,31,40,40,12,9568.0,9960.0,392.0,915.9
-15,32,17,17,9,8624.0,9808.0,1184.0,915.9
-14,24,62,63,14,7840.0,8904.0,1064.0,1007.8
-14,25,52,52,13,8368.0,9016.0,648.0,1007.8
-14,26,45,45,9,8096.0,9104.0,1008.0,1007.8
-14,27,54,54,9,7392.0,9248.0,1856.0,915.9
-14,28,28,28,10,8200.0,9504.0,1304.0,915.9
-14,29,39,39,12,8848.0,9640.0,792.0,915.9
-14,30,27,27,11,8400.0,9792.0,1392.0,915.9
-14,31,33,33,11,8400.0,9816.0,1416.0,915.9
-14,32,19,19,10,8104.0,9744.0,1640.0,915.9
-13,24,20,22,10,7960.0,8752.0,792.0,915.9
-13,25,20,20,12,8008.0,8768.0,760.0,1326.5
-13,26,38,38,11,7536.0,8768.0,1232.0,915.9
-13,27,6,9,4,7304.0,8200.0,896.0,915.9
-13,28,34,34,8,7680.0,9416.0,1736.0,915.9
-13,29,35,35,11,7992.0,9416.0,1424.0,915.9
-13,31,22,22,10,7408.0,8896.0,1488.0,915.9
-13,32,3,3,3,6344.0,8880.0,2536.0,835.0
-12,24,21,21,10,7800.0,8232.0,432.0,1326.5
-12,25,30,30,12,7696.0,8200.0,504.0,915.9
-12,26,41,41,12,7488.0,8144.0,656.0,915.9
-12,27,14,14,3,7216.0,7808.0,592.0,915.9
-12,28,37,40,12,7264.0,8688.0,1424.0,915.9
-12,29,22,22,11,7664.0,8816.0,1152.0,915.9
-12,30,17,17,9,6920.0,7992.0,1072.0,915.9
-12,31,20,20,10,5984.0,7816.0,1832.0,915.9
-12,32,15,15,9,5384.0,7776.0,2392.0,915.9
-11,24,23,25,13,7752.0,8072.0,320.0,1007.8
-11,25,38,39,13,7584.0,8096.0,512.0,1183.3
-11,26,48,48,13,7016.0,7952.0,936.0,915.9
-11,27,42,42,12,6520.0,7624.0,1104.0,1183.3
-11,28,43,43,12,6760.0,7664.0,904.0,915.9
-11,29,22,22,12,6704.0,7840.0,1136.0,915.9
-11,30,48,48,12,6784.0,7760.0,976.0,915.9
-11,31,9,9,5,5288.0,6920.0,1632.0,915.9
-11,32,11,11,7,3864.0,6024.0,2160.0,915.9
-10,24,26,29,12,7688.0,8112.0,424.0,1101.2
-10,25,26,33,8,7016.0,7992.0,976.0,915.9
-10,26,33,38,13,6792.0,7680.0,888.0,915.9
-10,27,46,47,10,6400.0,7208.0,808.0,915.9
-10,28,54,56,13,5992.0,7032.0,1040.0,915.9
-10,29,37,37,12,5592.0,6784.0,1192.0,915.9
-10,30,37,37,9,5536.0,7080.0,1544.0,915.9
-10,31,27,27,11,5400.0,6872.0,1472.0,915.9
-10,34,21,21,9,2968.0,3488.0,520.0,915.9
-9,24,35,36,9,7496.0,8040.0,544.0,915.9
-9,25,30,33,9,6992.0,7904.0,912.0,915.9
-9,26,31,31,7,6448.0,7520.0,1072.0,1183.3
-9,27,44,45,12,5568.0,7160.0,1592.0,915.9
-9,28,25,27,8,5000.0,6632.0,1632.0,915.9
-9,29,37,37,13,4792.0,6096.0,1304.0,915.9
-9,30,23,23,12,4368.0,6104.0,1736.0,915.9
-9,31,55,55,11,4272.0,5560.0,1288.0,915.9
-9,32,18,18,9,3080.0,5456.0,2376.0,915.9
-9,33,2,3,2,2840.0,3584.0,744.0,712.9
-9,34,4,4,3,2808.0,3072.0,264.0,781.0
