# ref base type part cellX cellY x y z rx ry rz scale tris bminx bminy bminz bmaxx bmaxy bmaxz model
0x002457E0 0x000585AA STAT -1 5 -11 23763.412 -41177.168 674.089 0.000000 0.000000 4.712389 1.0000 124 23698.350 -41243.668 664.417 23827.787 -41109.105 684.839 Landscape\Forest\LeafPile02.nif
0x002457CE 0x000C3884 STAT -1 5 -11 24095.514 -41213.035 684.784 0.060525 0.257413 5.923855 1.0000 432 24014.059 -41295.031 662.180 24176.785 -41128.641 723.714 SetDressing\WoodPallets\WoodPallet01.nif
0x0022C5FF 0x00067A94 STAT -1 5 -11 21722.299 -42796.715 413.002 0.000000 0.000000 3.124581 1.0000 68 21704.531 -42900.973 413.002 21740.066 -42692.457 589.002 Interiors\Building\Concrete\Small_WallKit\BldConcSmWallPlugBDblDoor01.nif
0x0022C5FE 0x00067AA6 STAT -1 5 -11 21854.637 -43050.504 413.002 0.000000 0.000000 6.266173 1.0000 12 21740.475 -43180.391 413.002 21744.830 -42924.426 669.002 Interiors\Building\Concrete\Small_WallKit\BldConcSmWall01.nif
0x0022C5FD 0x00067AA6 STAT -1 5 -11 21845.926 -42538.574 413.002 0.000000 0.000000 6.266173 1.0000 12 21731.764 -42668.461 413.002 21736.119 -42412.496 669.002 Interiors\Building\Concrete\Small_WallKit\BldConcSmWall01.nif
0x0022C5FC 0x00067A98 STAT -1 5 -11 21850.281 -42794.539 413.002 0.000000 0.000000 6.266173 1.0000 16 21736.119 -42924.426 413.002 21740.475 -42668.461 669.002 Interiors\Building\Concrete\Small_WallKit\BldConcSmWallScktB02.nif
0x0022C5FB 0x00030BDD STAT -1 5 -11 21594.320 -42798.902 413.002 0.000000 0.000000 4.695376 1.0000 172 21696.127 -42925.113 413.002 21748.477 -42668.336 669.002 Architecture\Buildings\DecoKit\DecoLobbyB1x1OpenFull01.nif
0x0021972E 0x0008E7C5 STAT -1 5 -11 23525.965 -43305.293 783.847 0.000000 0.000000 0.000000 1.0000 2052 23511.391 -43313.496 780.588 23540.742 -43294.863 821.315 SetDressing\LightFixtures\LightOilLampOn.nif
0x00219719 0x0008E7C5 STAT -1 5 -11 21558.191 -43645.137 779.510 0.000000 0.000000 5.303185 1.0000 2052 21546.816 -43661.602 776.252 21572.924 -43633.773 816.979 SetDressing\LightFixtures\LightOilLampOn.nif
0x001F7B0D 0x00106939 STAT -1 5 -11 20908.586 -44737.316 2415.728 0.000000 0.000000 4.202388 1.0000 74 20670.252 -44973.664 2415.978 21138.240 -44505.680 2415.978 SetDressing\Rubble\Rubble_Flat_Trash_Lg01b.nif
0x001F7B0B 0x0010693A STAT -1 5 -11 20493.695 -45013.891 2415.700 0.000000 0.000000 4.712389 1.0000 80 20268.695 -45206.016 2415.950 20698.695 -44800.641 2415.950 SetDressing\Rubble\Rubble_Flat_Trash_Lg01c.nif
0x001F7AA3 0x000C3895 STAT -1 5 -11 20982.779 -44829.926 2415.938 0.000000 0.000000 4.065001 1.0000 1548 20838.572 -44965.383 2400.055 21061.662 -44719.762 2682.438 SetDressing\JunkWalls\JunkWall02.nif
0x001F7AA2 0x000C3897 STAT -1 5 -11 20841.883 -44638.254 2432.381 0.000000 0.000000 3.493185 1.0000 6844 20712.371 -44741.426 2409.881 20988.551 -44561.305 2676.131 SetDressing\JunkWalls\JunkWall03.nif
