elevated road bases 82, ground road bases 388
chunk        elevated   ground
4,-4               62      501
4,-8               59      497
-8,8               58      202
4,0                53      502
0,0                52      471
4,-12              39      387
12,16              37       30
-20,-8             32       78
-4,8               26       37
-20,-12            26        0
0,-12              25      193
12,20              25       89
12,12              25       85
-16,8              24       71
4,-24              23      304
