# one row a sampled receiver. dis: bit a*4+e is SET when the bins and the
# reference cast answered that sun position differently. azimuths 120 240, elevations 5 15 30 60
x,y,z,dis,varies
16144,-32528,764.125,0,1
18288,-32528,614.875,0,0
20432,-32528,633.25,0,1
22576,-32528,454,0,1
24720,-32528,128.125,0,1
26864,-32528,89,0,1
29008,-32528,496,4,1
31152,-32528,586,72,1
16400,-32560,773.25,128,1
18544,-32560,627.625,0,1
20688,-32560,639.875,0,1
22832,-32560,354.25,0,1
24976,-32560,156,64,1
27120,-32560,163.375,0,1
29264,-32560,496,4,1
31408,-32560,571.875,0,1
16656,-32592,766.125,0,1
18800,-32592,677,128,1
20944,-32592,641,0,1
23088,-32592,257.75,2,1
25232,-32592,116.875,64,1
27376,-32592,258.375,0,1
29520,-32592,496,0,1
31664,-32592,574.125,128,1
16912,-32624,719.625,0,1
19056,-32624,664,128,1
21200,-32624,651.625,0,1
23344,-32624,187.625,2,1
25488,-32624,124.75,0,1
27632,-32624,362,0,1
29776,-32624,497,0,1
31920,-32624,568.875,8,1
17168,-32656,686,0,1
19312,-32656,672.625,64,1
21456,-32656,634.25,0,1
23600,-32656,95,0,1
25744,-32656,112,0,1
27888,-32656,454.625,4,1
30032,-32656,519.375,0,1
32176,-32656,580,0,1
17424,-32688,674.25,0,1
19568,-32688,663.625,0,1
21712,-32688,596.875,0,1
23856,-32688,62.875,0,1
26000,-32688,86.625,2,1
28144,-32688,495.375,36,1
30288,-32688,528,68,1
32432,-32688,575.75,0,1
17680,-32720,664,0,1
19824,-32720,653.375,0,0
21968,-32720,549.625,0,1
24112,-32720,71,0,1
26256,-32720,55.625,0,1
28400,-32720,496,32,1
30544,-32720,540.75,64,1
32688,-32720,569.875,0,1
17936,-32752,634,0,1
20080,-32752,656.25,0,0
22224,-32752,493.25,132,1
24368,-32752,99.625,0,1
26512,-32752,52.875,0,1
28656,-32752,496,32,1
30800,-32752,568.5,0,1
32944,-32752,637.375,0,1
18192,-32784,604.125,0,1
20336,-32784,655.375,0,1
22480,-32784,374.375,0,1
24624,-32784,136.75,0,1
26768,-32784,87,0,1
28912,-32784,502.125,0,1
31056,-32784,576,0,1
16304,-32816,783.25,0,1
18448,-32816,597.625,0,1
20592,-32816,655.875,0,1
22736,-32816,290.875,0,1
24880,-32816,154.375,64,1
27024,-32816,145,0,1
29168,-32816,504,0,1
31312,-32816,575,0,1
16560,-32848,768,0,1
18704,-32848,650.5,8,1
20848,-32848,628.625,0,0
22992,-32848,223.125,2,1
25136,-32848,166.5,0,1
27280,-32848,226.75,0,1
29424,-32848,501,0,1
31568,-32848,582.125,0,1
16816,-32880,706.375,0,0
18960,-32880,665.125,64,1
21104,-32880,665.125,0,1
23248,-32880,155.75,2,1
25392,-32880,139.25,0,1
27536,-32880,327.875,0,1
29680,-32880,500.25,0,1
31824,-32880,581.25,72,1
17072,-32912,681,0,0
19216,-32912,664,0,1
21360,-32912,654.875,0,1
23504,-32912,88,2,1
25648,-32912,133.375,0,1
27792,-32912,438.125,4,1
29936,-32912,529.125,8,1
32080,-32912,602,0,1
17328,-32944,665,0,1
19472,-32944,664,0,1
21616,-32944,615.5,0,1
23760,-32944,69.375,0,1
25904,-32944,121,0,1
28048,-32944,495.25,36,1
30192,-32944,557,132,1
32336,-32944,576,0,1
17584,-32976,686.25,0,1
19728,-32976,656.625,0,1
21872,-32976,565.375,0,1
24016,-32976,64,0,1
26160,-32976,91,0,1
28304,-32976,496,32,1
30448,-32976,572,0,1
32592,-32976,578.125,0,1
17840,-33008,651,0,1
19984,-33008,664,0,1
22128,-33008,472.75,0,1
24272,-33008,81,0,1
26416,-33008,78,0,1
28560,-33008,496,0,1
30704,-33008,577.875,4,1
32848,-33008,608.625,0,1
18096,-33040,622,128,1
20240,-33040,660.125,0,0
22384,-33040,364,8,1
24528,-33040,121.25,0,1
26672,-33040,91.625,0,1
28816,-33040,502.875,0,1
30960,-33040,576,4,1
16208,-33072,783.125,224,1
18352,-33072,608,128,1
20496,-33072,664.75,0,1
22640,-33072,270.25,8,1
24784,-33072,163.375,64,1
26928,-33072,132,0,1
29072,-33072,504,0,1
31216,-33072,576,0,1
16464,-33104,766.875,0,1
18608,-33104,615,64,1
20752,-33104,637.25,0,1
22896,-33104,188.625,8,1
25040,-33104,164,0,1
27184,-33104,196.875,4,1
29328,-33104,505.375,0,1
31472,-33104,576,64,1
16720,-33136,727.125,0,1
18864,-33136,662.625,64,1
21008,-33136,651.875,0,1
23152,-33136,134.625,2,1
25296,-33136,176.875,0,1
27440,-33136,295.625,0,1
29584,-33136,508.875,0,1
31728,-33136,584,64,1
16976,-33168,702.875,0,1
19120,-33168,672.25,64,1
21264,-33168,647.125,0,1
23408,-33168,85.875,0,1
25552,-33168,136.625,0,1
27696,-33168,431,0,1
29840,-33168,546.875,64,1
31984,-33168,577.875,64,1
17232,-33200,748.25,0,1
19376,-33200,678.125,128,1
21520,-33200,624.875,0,1
23664,-33200,83.125,0,1
25808,-33200,135.875,0,1
27952,-33200,527.25,4,1
30096,-33200,573,0,1
32240,-33200,576,32,1
17488,-33232,744.875,0,1
19632,-33232,688,0,1
21776,-33232,578.625,0,1
23920,-33232,75.75,0,1
26064,-33232,111.875,0,1
28208,-33232,501,32,1
30352,-33232,593.625,0,1
32496,-33232,605.25,0,0
17744,-33264,730,0,1
19888,-33264,686.625,0,0
22032,-33264,495,0,1
24176,-33264,76,0,1
26320,-33264,88,0,1
28464,-33264,496,0,1
30608,-33264,582,0,1
32752,-33264,613.875,0,1
18000,-33296,656,0,1
20144,-33296,677.625,0,0
22288,-33296,365,0,1
24432,-33296,105.125,0,1
26576,-33296,89,0,1
28720,-33296,514.75,0,1
30864,-33296,576,0,1
33008,-33296,577.875,0,1
18256,-33328,630,0,1
20400,-33328,698.125,0,0
22544,-33328,268,0,1
24688,-33328,134.375,64,1
26832,-33328,115,4,1
28976,-33328,504.875,32,1
31120,-33328,576,4,1
16368,-33360,750,0,1
18512,-33360,629.125,64,1
20656,-33360,652.625,0,0
22800,-33360,180,0,1
24944,-33360,157.25,0,1
27088,-33360,175.125,0,1
29232,-33360,517.875,0,1
31376,-33360,576,0,1
16624,-33392,736,0,1
18768,-33392,676,0,1
20912,-33392,667.625,0,1
23056,-33392,122.5,0,1
25200,-33392,185.125,0,1
27344,-33392,289.375,0,1
29488,-33392,533.625,0,1
31632,-33392,576,64,1
16880,-33424,723.875,0,1
19024,-33424,685.625,0,1
21168,-33424,645.375,0,1
23312,-33424,99,0,1
25456,-33424,168.5,0,1
27600,-33424,440.125,0,1
29744,-33424,568.75,0,1
31888,-33424,576,32,1
17136,-33456,749.625,0,1
19280,-33456,694.125,0,1
21424,-33456,618,0,1
23568,-33456,88.625,0,1
25712,-33456,150.375,0,1
27856,-33456,528.25,2,1
30000,-33456,606.75,128,1
32144,-33456,576,0,1
17392,-33488,757,0,1
19536,-33488,697.875,0,1
21680,-33488,583.125,0,1
23824,-33488,120.375,0,1
25968,-33488,143.625,0,1
28112,-33488,542.25,36,1
30256,-33488,600.125,0,1
32400,-33488,584.75,0,1
17648,-33520,748.25,0,1
19792,-33520,707.625,0,1
21936,-33520,494.75,0,1
24080,-33520,137.75,0,1
26224,-33520,107.875,0,1
28368,-33520,533.375,36,1
30512,-33520,585.25,0,1
32656,-33520,589.75,0,1
17904,-33552,732.75,64,1
20048,-33552,713,0,1
22192,-33552,359.75,0,1
24336,-33552,146.125,0,1
26480,-33552,88,0,1
28624,-33552,544,0,1
30768,-33552,581.375,128,1
32912,-33552,576,0,1
18160,-33584,692,0,1
20304,-33584,695,0,1
22448,-33584,270.125,2,1
24592,-33584,140,68,1
26736,-33584,104.625,4,1
28880,-33584,553.125,0,1
31024,-33584,606.625,2,1
16272,-33616,756.875,0,1
18416,-33616,654.625,0,1
20560,-33616,688.125,0,1
22704,-33616,194.125,2,1
24848,-33616,171.75,64,1
26992,-33616,164,64,1
29136,-33616,504.625,8,1
31280,-33616,579.75,98,1
16528,-33648,758,0,1
18672,-33648,686,8,1
20816,-33648,681.125,0,1
22960,-33648,132.25,0,1
25104,-33648,161.125,4,1
27248,-33648,290,0,1
29392,-33648,552,32,1
31536,-33648,576,32,1
16784,-33680,749,0,1
18928,-33680,714,0,1
21072,-33680,638,0,1
23216,-33680,117.5,0,1
25360,-33680,162.125,0,1
27504,-33680,446.375,4,1
29648,-33680,589.375,0,1
31792,-33680,576,4,1
17040,-33712,764.25,0,1
19184,-33712,704,0,1
21328,-33712,602.625,0,1
23472,-33712,137.25,0,1
25616,-33712,179,0,1
27760,-33712,566.625,0,1
29904,-33712,617.75,128,1
32048,-33712,576,40,1
17296,-33744,768,8,1
19440,-33744,705.625,0,1
21584,-33744,544.875,0,1
23728,-33744,178,0,1
25872,-33744,171.375,4,1
28016,-33744,571.625,32,1
30160,-33744,606.125,0,1
32304,-33744,576,0,1
17552,-33776,755,0,1
19696,-33776,705.125,0,1
21840,-33776,467.125,0,1
23984,-33776,204.25,0,1
26128,-33776,142,0,1
28272,-33776,574,0,1
30416,-33776,592,0,1
32560,-33776,576,64,1
17808,-33808,747,8,1
19952,-33808,724.125,0,0
22096,-33808,345,0,1
24240,-33808,220.625,4,1
26384,-33808,115,128,1
28528,-33808,578,0,1
30672,-33808,584,64,1
32816,-33808,572.75,0,1
18064,-33840,735.75,0,1
20208,-33840,693.25,0,0
22352,-33840,262.75,2,1
24496,-33840,193.875,4,1
26640,-33840,110.625,0,1
28784,-33840,586,4,1
30928,-33840,576,32,1
16176,-33872,735.75,72,1
18320,-33872,693.375,0,1
20464,-33872,696.375,0,0
22608,-33872,201,0,1
24752,-33872,174.875,0,1
26896,-33872,170,0,1
29040,-33872,579.125,32,1
31184,-33872,576,32,1
16432,-33904,787,0,1
18576,-33904,672.125,0,1
20720,-33904,697.25,0,0
22864,-33904,146.625,0,1
25008,-33904,196.625,4,1
27152,-33904,313,0,1
29296,-33904,579,8,1
31440,-33904,576,32,1
16688,-33936,783.75,0,1
18832,-33936,716,0,1
20976,-33936,639.25,0,0
23120,-33936,167.25,0,1
25264,-33936,164.125,0,1
27408,-33936,427.75,0,1
29552,-33936,608,0,1
31696,-33936,576,0,1
16944,-33968,769.75,128,1
19088,-33968,726,0,1
21232,-33968,544.875,0,1
23376,-33968,167.875,0,1
25520,-33968,182.625,0,1
27664,-33968,579.75,0,1
29808,-33968,629,0,1
31952,-33968,576,64,1
17200,-34000,758.125,0,1
19344,-34000,721,128,1
21488,-34000,497.75,0,1
23632,-34000,226.875,0,1
25776,-34000,185,0,1
27920,-34000,640.25,0,1
30064,-34000,616.75,4,1
32208,-34000,576,68,1
17456,-34032,739,0,1
19600,-34032,710.75,0,1
21744,-34032,450.125,0,1
23888,-34032,239.625,0,1
26032,-34032,157.625,0,1
28176,-34032,618.125,0,1
30320,-34032,597,4,1
32464,-34032,575.375,72,1
17712,-34064,734.75,0,1
19856,-34064,704.75,0,0
22000,-34064,353.5,0,1
24144,-34064,226.125,0,1
26288,-34064,139.375,0,1
28432,-34064,605,0,1
30576,-34064,584,2,1
32720,-34064,577.25,64,1
17968,-34096,737.875,0,1
20112,-34096,690.75,0,0
22256,-34096,249.625,0,1
24400,-34096,230.875,4,1
26544,-34096,142,128,1
28688,-34096,594.625,0,1
30832,-34096,576,32,1
32976,-34096,607,128,1
18224,-34128,737,0,1
20368,-34128,696,0,0
22512,-34128,201.375,0,1
24656,-34128,237,68,1
26800,-34128,201.5,0,1
28944,-34128,589.625,0,1
31088,-34128,580,0,1
16336,-34160,800,64,1
18480,-34160,687,0,1
20624,-34160,707.125,0,0
22768,-34160,161.125,0,1
24912,-34160,209.25,0,1
27056,-34160,352.5,0,1
29200,-34160,584.75,0,1
31344,-34160,577.875,0,1
16592,-34192,799.625,64,1
18736,-34192,716.25,0,1
20880,-34192,644.875,0,0
23024,-34192,191.75,0,1
25168,-34192,180.875,0,1
27312,-34192,435,0,1
29456,-34192,633.375,0,1
31600,-34192,583.125,66,1
16848,-34224,791,0,1
18992,-34224,735,0,1
21136,-34224,550.5,0,1
23280,-34224,214.875,0,1
25424,-34224,166.25,64,1
27568,-34224,544.625,64,1
29712,-34224,654.625,0,1
31856,-34224,600.375,66,1
17104,-34256,767,0,1
19248,-34256,737,0,1
21392,-34256,504.25,0,1
23536,-34256,247.25,0,1
25680,-34256,182.875,128,1
27824,-34256,626.375,0,1
29968,-34256,622,4,1
32112,-34256,576,66,1
17360,-34288,746,0,1
19504,-34288,723.625,128,1
21648,-34288,471.875,0,1
23792,-34288,261.5,0,1
25936,-34288,165.25,0,1
28080,-34288,644,0,1
30224,-34288,593.125,4,1
32368,-34288,582,2,1
17616,-34320,734.375,0,1
19760,-34320,720.25,0,0
21904,-34320,398.875,0,1
24048,-34320,256.875,0,1
26192,-34320,154,0,1
28336,-34320,630.625,0,1
30480,-34320,580.875,4,1
32624,-34320,598.875,0,1
17872,-34352,751.875,0,1
20016,-34352,704,0,0
22160,-34352,286.625,0,1
24304,-34352,260,0,1
26448,-34352,167.125,0,1
28592,-34352,616,32,1
30736,-34352,576,4,1
