# one row a sampled receiver. dis: bit a*4+e is SET when the bins and the
# reference cast answered that sun position differently. azimuths 120 240, elevations 5 15 30 60
x,y,z,dis,varies
18715.1,-48072.6,1747.3,0,1
19041.8,-46782.1,1521.96,0,1
19098.6,-46291.2,1658.27,0,0
19101.5,-46678.9,944.821,0,1
19054.6,-48974.9,873.848,0,0
20071.7,-48186.9,852.34,0,0
18833.9,-48990.3,869.88,0,0
19604.3,-45584.9,2317.38,0,0
17862.6,-44799.2,1564.04,0,0
18077.3,-45395.8,1654.27,0,0
17776.9,-46118,2276.99,0,0
17502,-46231.5,1697.27,0,1
17458.8,-46973.1,968.123,0,1
18211.6,-47429.1,1527.5,0,1
17703.3,-47754.4,1735.51,0,0
17797.2,-47882,1056.96,0,1
17806.2,-47887.7,1059.13,0,1
17384.3,-48667.7,1735.34,0,0
17369.2,-48386,1066.9,8,1
17398.9,-48360.1,1075.51,0,1
16229.6,-48155.1,1002.23,0,1
16374.3,-48209,1101.32,12,1
16641.5,-48052.1,1845.62,0,1
16723.6,-48090.5,1730.35,0,1
16615.5,-48301.1,1530.23,0,1
16758.3,-48669.7,1769.01,0,1
20460.5,-45362.4,1239.25,0,0
20181.3,-45398,1452.98,0,0
20249.6,-45321.9,719.516,0,0
20245.2,-45879.2,647.542,0,0
20405,-46195.5,2530.94,0,1
20188.4,-46337.8,2537.15,0,1
21183.2,-46168.6,2408.33,0,0
21150.8,-45271.3,2613.94,0,0
22289.3,-45064.1,1293.45,0,0
24227.6,-46804.4,520.222,0,1
23925.5,-48365.7,434.124,0,0
22009.9,-46354.4,654.382,0,0
22646.8,-46787.2,1239.34,0,1
22277.2,-46387.9,953.694,0,0
22685.2,-46667.1,848.287,0,1
22299.8,-46644.1,1065.89,0,0
20992.2,-46382.9,463.535,0,0
21461.9,-46890.8,1181.53,0,0
22460.7,-46223.3,1271.43,0,0
22204.7,-46222.9,1271.43,0,0
22524.6,-46279.4,1015.43,0,0
23536.7,-46225,720.059,0,0
24404,-45696.6,759.435,0,0
24322.4,-45753.3,805.122,0,0
24217.7,-45903.1,805.122,0,0
24223.4,-46052,717.934,0,0
24221.9,-46013.4,759.435,0,0
24507.3,-46771,759.435,0,0
24251.4,-46780.8,759.435,0,0
24449.6,-46773.2,830.623,0,0
24241.6,-46525,759.435,0,0
24243.8,-46581.2,790.841,0,0
23228.9,-45968.8,1007.43,0,1
23229.3,-45968.8,1007.43,0,1
23458.7,-46224.9,810.029,0,0
23257.4,-45712.6,875.499,0,0
23462.3,-46224.9,503.435,0,0
23404.8,-45712.8,530.168,0,0
22717.1,-45967.7,1263.43,0,1
22461.1,-45967.3,1263.43,0,1
22461.5,-45711.3,1263.43,2,1
22717.5,-45711.7,1263.43,2,1
22205.1,-45966.9,1271.43,0,0
22205.5,-45710.9,1271.43,0,0
22204.7,-46222.9,759.435,0,0
22204.7,-46222.9,503.435,0,0
22205.1,-45966.9,503.435,0,0
22205.1,-45966.9,759.435,0,0
22289.3,-45064.1,1037.45,0,0
22289.3,-45064.1,781.448,0,0
22716.7,-46223.7,1271.43,0,0
22717.1,-45967.7,1271.43,0,0
22205.5,-45710.9,759.435,0,0
22461.5,-45711.3,503.435,0,0
22205.5,-45710.9,503.435,0,0
22461.5,-45711.3,1271.43,0,0
22717.5,-45711.7,1271.43,0,0
22461.5,-45711.3,759.435,0,0
23165.6,-45656.4,1015.43,0,0
22972.7,-46224.1,503.435,0,0
22973.5,-45712.1,1039.43,0,1
22973.1,-45968.1,1039.43,0,1
23229.1,-45968.6,1039.43,0,1
23229.5,-45712.6,1039.43,0,1
22717.5,-45711.7,759.435,0,0
22972.7,-46224.1,759.435,0,0
22973.5,-45712.1,503.435,0,0
23228.7,-46224.6,503.435,0,0
23228.7,-46224.6,759.435,0,0
22460.7,-46223.3,759.435,0,0
