| row | mean ALL | mean ter | mean obj | st120/5 ALL | st120/5 obj | st240/15 ALL | st240/15 obj | ea120/15 obj | ea240/15 obj |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| O1 | 39.99 | 20.23 | 48.77 | 46.41 | 51.47 | 62.33 | 79.11 | 28.76 | 53.37 |
| O2z | 31.07 | 20.23 | 35.88 | 44.36 | 47.07 | 57.42 | 68.61 | 15.77 | 46.13 |
| O2 | 36.80 | 20.23 | 43.50 | 40.35 | 38.48 | 29.34 | 8.46 | 32.97 | 39.51 |
| O2zt | 34.97 | 20.23 | 40.96 | 39.43 | 36.51 | 31.36 | 12.79 | 30.44 | 40.00 |
| O2p | 32.64 | 20.23 | 37.41 | 37.69 | 32.80 | 30.70 | 11.38 | 27.12 | 38.77 |
| O2m | 31.46 | 20.23 | 35.50 | 37.41 | 32.19 | 31.51 | 13.11 | 26.28 | 36.94 |
| O2mz | 27.97 | 20.23 | 31.66 | 44.53 | 47.43 | 57.32 | 68.38 | 15.31 | 45.04 |
| O2mt | 29.88 | 20.23 | 33.36 | 36.63 | 30.52 | 33.44 | 17.26 | 24.27 | 37.46 |
| O5a | 36.08 | 20.23 | 42.60 | 39.34 | 36.33 | 32.37 | 14.95 | 31.81 | 38.77 |
| O5b | 36.16 | 20.23 | 42.97 | 40.01 | 37.77 | 36.16 | 23.06 | 30.49 | 38.61 |
| O5n | 36.49 | 20.23 | 43.22 | 39.71 | 37.12 | 32.33 | 14.87 | 30.42 | 40.08 |
| O5m | 39.82 | 20.23 | 47.95 | 43.22 | 44.65 | 29.47 | 8.74 | 40.09 | 41.84 |
| O3a | 37.78 | 20.23 | 44.84 | 40.27 | 38.31 | 29.35 | 8.49 | 33.44 | 40.12 |
| O3b | 37.53 | 20.23 | 44.43 | 39.41 | 36.47 | 29.33 | 8.44 | 31.90 | 40.38 |
| O4 | 10.63 | 20.23 | 5.53 | 30.49 | 17.38 | 28.82 | 7.35 | 5.66 | 7.02 |
| O4x | 10.50 | 20.23 | 5.36 | 30.34 | 17.05 | 28.91 | 7.55 | 5.30 | 6.77 |
| T1 | 39.99 | 20.23 | 48.77 | 46.41 | 51.47 | 62.33 | 79.11 | 28.76 | 53.37 |
| T2a | 38.06 | 12.99 | 48.77 | 46.41 | 51.47 | 63.64 | 79.11 | 28.76 | 53.37 |
| T2b | 38.08 | 13.06 | 48.77 | 46.41 | 51.47 | 63.44 | 79.11 | 28.76 | 53.37 |
| T3a | 37.70 | 11.22 | 48.77 | 51.44 | 51.47 | 61.20 | 79.11 | 28.76 | 53.37 |
| T3b | 36.02 | 7.35 | 48.77 | 37.38 | 51.47 | 53.73 | 79.11 | 28.76 | 53.37 |
| T4 | 39.03 | 16.71 | 48.77 | 46.41 | 51.47 | 62.30 | 79.11 | 28.76 | 53.37 |
| T5 | 38.10 | 13.10 | 48.77 | 46.41 | 51.47 | 64.00 | 79.11 | 28.76 | 53.37 |
| T6a | 38.17 | 13.29 | 48.77 | 46.41 | 51.47 | 63.61 | 79.11 | 28.76 | 53.37 |
| T6c | 38.16 | 13.35 | 48.77 | 46.41 | 51.47 | 63.83 | 79.11 | 28.76 | 53.37 |
| B1 | 27.49 | 7.35 | 35.50 | 28.38 | 32.19 | 22.91 | 13.11 | 26.28 | 36.94 |
| B1t | 25.91 | 7.35 | 33.36 | 27.60 | 30.52 | 24.85 | 17.26 | 24.27 | 37.46 |
| B2 | 6.66 | 7.35 | 5.53 | 21.46 | 17.38 | 20.22 | 7.35 | 5.66 | 7.02 |
