  A(0,0) el   0.0 az  180.0  B(1,0) el  -0.0 az  170.5  IoU 0.821  A px 5526 B px 5418
  A(0,0) el   0.0 az  180.0  B(0,1) el  -0.0 az -170.5  IoU 0.738  A px 5526 B px 5423
  A(1,0) el  -0.0 az  170.5  B(2,0) el   0.0 az  158.2  IoU 0.756  A px 5550 B px 5269
  A(1,0) el  -0.0 az  170.5  B(1,1) el  21.8 az  180.0  IoU 0.629  A px 5550 B px 5485
  A(2,0) el   0.0 az  158.2  B(3,0) el   0.0 az  143.1  IoU 0.558  A px 5455 B px 5623
  A(2,0) el   0.0 az  158.2  B(2,1) el  25.9 az  166.0  IoU 0.635  A px 5455 B px 5308
  A(3,0) el   0.0 az  143.1  B(4,0) el   0.0 az  126.9  IoU 0.531  A px 5534 B px 7048
  A(3,0) el   0.0 az  143.1  B(3,1) el  29.0 az  146.3  IoU 0.627  A px 5534 B px 5683
  A(4,0) el   0.0 az  126.9  B(5,0) el   0.0 az  111.8  IoU 0.626  A px 5785 B px 5955
  A(4,0) el   0.0 az  126.9  B(4,1) el  29.0 az  123.7  IoU 0.679  A px 5785 B px 6021
  A(5,0) el   0.0 az  111.8  B(6,0) el   0.0 az   99.5  IoU 0.734  A px 5881 B px 5793
  A(5,0) el   0.0 az  111.8  B(5,1) el  25.9 az  104.0  IoU 0.584  A px 5881 B px 6089
  A(6,0) el   0.0 az   99.5  B(7,0) el   0.0 az   90.0  IoU 0.826  A px 5886 B px 5753
  A(6,0) el   0.0 az   99.5  B(6,1) el  21.8 az   90.0  IoU 0.566  A px 5886 B px 5342
  A(7,0) el   0.0 az   90.0  B(7,1) el   0.0 az   80.5  IoU 0.846  A px 5814 B px 5763
  A(0,1) el  -0.0 az -170.5  B(1,1) el  21.8 az  180.0  IoU 0.653  A px 5377 B px 5454
  A(0,1) el  -0.0 az -170.5  B(0,2) el   0.0 az -158.2  IoU 0.579  A px 5377 B px 5108
  A(0,1) el  -0.0 az -170.5  B(1,0) el  -0.0 az  170.5  IoU 0.684  A px 5377 B px 5035
  A(1,1) el  21.8 az  180.0  B(2,1) el  25.9 az  166.0  IoU 0.487  A px 5236 B px 3807
  A(1,1) el  21.8 az  180.0  B(1,2) el  25.9 az -166.0  IoU 0.422  A px 5236 B px 3634
  A(1,1) el  21.8 az  180.0  B(2,0) el   0.0 az  158.2  IoU 0.606  A px 5236 B px 4522
  A(2,1) el  25.9 az  166.0  B(3,1) el  29.0 az  146.3  IoU 0.311  A px 5098 B px 2768
  A(2,1) el  25.9 az  166.0  B(2,2) el  53.1 az  180.0  IoU 0.194  A px 5098 B px 2109
  A(2,1) el  25.9 az  166.0  B(3,0) el   0.0 az  143.1  IoU 0.412  A px 5098 B px 3999
  A(3,1) el  29.0 az  146.3  B(4,1) el  29.0 az  123.7  IoU 0.327  A px 4775 B px 3011
  A(3,1) el  29.0 az  146.3  B(3,2) el  60.8 az  153.4  IoU 0.247  A px 4775 B px 2313
  A(3,1) el  29.0 az  146.3  B(4,0) el   0.0 az  126.9  IoU 0.326  A px 4775 B px 4466
  A(4,1) el  29.0 az  123.7  B(5,1) el  25.9 az  104.0  IoU 0.390  A px 5183 B px 4069
  A(4,1) el  29.0 az  123.7  B(4,2) el  60.8 az  116.6  IoU 0.283  A px 5183 B px 2815
  A(4,1) el  29.0 az  123.7  B(5,0) el   0.0 az  111.8  IoU 0.543  A px 5183 B px 5124
  A(5,1) el  25.9 az  104.0  B(6,1) el  21.8 az   90.0  IoU 0.587  A px 5441 B px 4659
  A(5,1) el  25.9 az  104.0  B(5,2) el  53.1 az   90.0  IoU 0.361  A px 5441 B px 2987
  A(5,1) el  25.9 az  104.0  B(6,0) el   0.0 az   99.5  IoU 0.791  A px 5441 B px 5021
  A(6,1) el  21.8 az   90.0  B(7,1) el   0.0 az   80.5  IoU 0.765  A px 5537 B px 5542
  A(6,1) el  21.8 az   90.0  B(6,2) el  25.9 az   76.0  IoU 0.540  A px 5537 B px 4230
  A(6,1) el  21.8 az   90.0  B(7,0) el   0.0 az   90.0  IoU 0.862  A px 5537 B px 5179
  A(7,1) el   0.0 az   80.5  B(7,2) el   0.0 az   68.2  IoU 0.679  A px 5831 B px 5448
  A(0,2) el   0.0 az -158.2  B(1,2) el  25.9 az -166.0  IoU 0.686  A px 5083 B px 5048
  A(0,2) el   0.0 az -158.2  B(0,3) el   0.0 az -143.1  IoU 0.561  A px 5083 B px 4763
  A(0,2) el   0.0 az -158.2  B(1,1) el  21.8 az  180.0  IoU 0.310  A px 5083 B px 4141
  A(1,2) el  25.9 az -166.0  B(2,2) el  53.1 az  180.0  IoU 0.325  A px 4862 B px 2473
  A(1,2) el  25.9 az -166.0  B(1,3) el  29.0 az -146.3  IoU 0.253  A px 4862 B px 2458
  A(1,2) el  25.9 az -166.0  B(2,1) el  25.9 az  166.0  IoU 0.128  A px 4862 B px 3644
  A(2,2) el  53.1 az  180.0  B(3,2) el  60.8 az  153.4  IoU 0.200  A px 3683 B px 1363
  A(2,2) el  53.1 az  180.0  B(2,3) el  60.8 az -153.4  IoU 0.113  A px 3683 B px 1000
  A(2,2) el  53.1 az  180.0  B(3,1) el  29.0 az  146.3  IoU 0.083  A px 3683 B px 3140
  A(3,2) el  60.8 az  153.4  B(4,2) el  60.8 az  116.6  IoU 0.128  A px 3065 B px 1405
