  blast_n4      8 px  mip0 0.0417  mip4 0.0000
  blast_n4     12 px  mip0 0.1454  mip3 0.1493
  blast_n4     16 px  mip0 0.3615  mip3 0.2124
  blast_n4     24 px  mip0 0.4967  mip2 0.4343
  blast_n4     32 px  mip0 0.4089  mip2 0.3827
  blast_n4     48 px  mip0 0.4882  mip1 0.4923
  blast_n4     64 px  mip0 0.5268  mip1 0.5410
  blast_n4     96 px  mip0 0.5825  mip0 0.5825
  blast_n4    128 px  mip0 0.5683  mip0 0.5683
  blast_n4    192 px  mip0 0.5879  mip0 0.5879
  blast_n4    256 px  mip0 0.5913  mip0 0.5913
  blast_n8      8 px  mip0 0.0556  mip4 0.0000
  blast_n8     12 px  mip0 0.2578  mip4 0.0000
  blast_n8     16 px  mip0 0.4230  mip3 0.2955
  blast_n8     24 px  mip0 0.6116  mip2 0.5805
  blast_n8     32 px  mip0 0.4039  mip2 0.3635
  blast_n8     48 px  mip0 0.6015  mip1 0.5961
  blast_n8     64 px  mip0 0.6532  mip1 0.6708
  blast_n8     96 px  mip0 0.7594  mip0 0.7594
  blast_n8    128 px  mip0 0.7045  mip0 0.7045
  blast_n8    192 px  mip0 0.7609  mip0 0.7609
  blast_n8    256 px  mip0 0.7657  mip0 0.7657
E:\Projects\NifskopeWildWastelandEdition\scratchpad\impostorfix4_20260919\s4_dist.py:93: RuntimeWarning: Mean of empty slice
  ink=float(np.nanmean(inks)))
  maple_n4      8 px  mip0 0.0000  mip3 0.0000
  maple_n4     12 px  mip0 0.0573  mip2 0.1729
  maple_n4     16 px  mip0 0.1526  mip2 0.2798
  maple_n4     24 px  mip0 0.2656  mip1 0.3007
  maple_n4     32 px  mip0 0.2492  mip1 0.2498
  maple_n4     48 px  mip0 0.2964  mip0 0.2964
  maple_n4     64 px  mip0 0.3226  mip0 0.3226
  maple_n4     96 px  mip0 0.3692  mip0 0.3692
  maple_n4    128 px  mip0 0.3853  mip0 0.3853
  maple_n4    192 px  mip0 0.3860  mip0 0.3860
  maple_n4    256 px  mip0 0.4158  mip0 0.4158

DEFECT 4 -- IoU vs ON-SCREEN HEIGHT, 24 views, frozen registration
tag           px   wpx  mip | IoU@mip0    worst    ink | IoU@mipk    worst    ink
blast_n4       8     3    4 |   0.0417   0.0000  2.100 |   0.0000   0.0000  0.000
blast_n4      12     5    3 |   0.1454   0.0000  4.375 |   0.1493   0.0000  0.417
blast_n4      16     6    3 |   0.3615   0.1667  2.627 |   0.2124   0.0000  0.255
blast_n4      24     9    2 |   0.4967   0.2414  1.620 |   0.4343   0.2273  0.849
blast_n4      32    12    2 |   0.4089   0.2442  1.525 |   0.3827   0.2391  0.906
blast_n4      48    18    1 |   0.4882   0.3431  1.495 |   0.4923   0.2992  1.265
blast_n4      64    24    1 |   0.5268   0.3333  1.415 |   0.5410   0.3591  1.243
blast_n4      96    36    0 |   0.5825   0.4079  1.405 |   0.5825   0.4079  1.405
blast_n4     128    48    0 |   0.5683   0.3971  1.393 |   0.5683   0.3971  1.393
blast_n4     192    72    0 |   0.5879   0.4255  1.406 |   0.5879   0.4255  1.406
blast_n4     256    96    0 |   0.5913   0.4198  1.359 |   0.5913   0.4198  1.359
blast_n8       8     3    4 |   0.0556   0.0000  1.000 |   0.0000   0.0000  0.000
blast_n8      12     4    4 |   0.2578   0.0000  2.949 |   0.0000   0.0000  0.000
blast_n8      16     6    3 |   0.4230   0.1875  2.355 |   0.2955   0.0000  0.341
blast_n8      24     9    2 |   0.6116   0.4194  1.375 |   0.5805   0.4118  0.717
blast_n8      32    12    2 |   0.4039   0.2826  1.325 |   0.3635   0.2424  0.724
blast_n8      48    18    1 |   0.6015   0.5093  1.192 |   0.5961   0.5056  1.042
blast_n8      64    24    1 |   0.6532   0.5615  1.227 |   0.6708   0.5594  1.073
blast_n8      96    36    0 |   0.7594   0.6501  1.227 |   0.7594   0.6501  1.227
blast_n8     128    48    0 |   0.7045   0.6433  1.211 |   0.7045   0.6433  1.211
blast_n8     192    72    0 |   0.7609   0.6578  1.207 |   0.7609   0.6578  1.207
blast_n8     256    96    0 |   0.7657   0.6821  1.167 |   0.7657   0.6821  1.167
maple_n4       8     4    3 |   0.0000   0.0000    nan |   0.0000   0.0000    nan
maple_n4      12     6    2 |   0.0573   0.0000 10.182 |   0.1729   0.0000  2.727
maple_n4      16     8    2 |   0.1526   0.0556  7.565 |   0.2798   0.0000  1.859
maple_n4      24    12    1 |   0.2656   0.1228  3.521 |   0.3007   0.1034  2.290
maple_n4      32    16    1 |   0.2492   0.1392  2.902 |   0.2498   0.1000  1.762
maple_n4      48    24    0 |   0.2964   0.2050  2.600 |   0.2964   0.2050  2.600
maple_n4      64    32    0 |   0.3226   0.2215  2.418 |   0.3226   0.2215  2.418
maple_n4      96    48    0 |   0.3692   0.2806  2.287 |   0.3692   0.2806  2.287
maple_n4     128    64    0 |   0.3853   0.2810  2.040 |   0.3853   0.2810  2.040
maple_n4     192    96    0 |   0.3860   0.2709  1.855 |   0.3860   0.2709  1.855
maple_n4     256   128    0 |   0.4158   0.3003  1.616 |   0.4158   0.3003  1.616
