AMBIGUITY OF COLOUR -> DOMINANT MATERIAL
far-area-weighted mean top-1 share over the bins the far terrain actually uses: 27.3%
far area in bins with no painted sample at all (top 60): 0.74%

# bin(6-bit RGB)  farQuads  farShare  cum  paintedN  top1Share  nDistinct  entropyBits   materials
(18, 16, 14)      19361  14.71%  14.71%       164      20.1%         28        3.67   LNF_Dirt01 20%, <no BTXT under layers> 19%, LNFoothillsRubbleRock01 16%
(17, 15, 14)      15115  11.48%  26.19%       132      19.7%         29        4.15   LBlastedForestDirt01 20%, LCoastSandWet01 11%, LRiverbedSilt01 7%
(18, 17, 15)       9807   7.45%  33.64%       446      16.1%         38        4.24   <no BTXT under layers> 16%, LNF_Dirt01 13%, LCoastSandWet01 10%
(17, 16, 14)       6876   5.22%  38.86%       375      14.1%         39        4.26   LNF_Dirt01 14%, LCoastSandWet01 13%, <no BTXT under layers> 11%
(19, 17, 15)       5074   3.85%  42.72%       130      28.5%         23        3.76   <no BTXT under layers> 28%, LDriedGrass01 7%, LCoastSandDry01 7%
(16, 15, 14)       4199   3.19%  45.91%       222      18.5%         29        3.88   LBlastedForestDirt01 18%, LGlowingSeaRubble01 17%, LCoastSandWet01 11%
(18, 17, 14)       3539   2.69%  48.60%       128      27.3%         22        3.17   LNF_Dirt01 27%, LNFoothillsRubbleRock01 26%, <no BTXT under layers> 16%
(16, 15, 13)       3476   2.64%  51.24%       288      14.9%         35        4.21   <no BTXT under layers> 15%, LCoastSandWet01 14%, LNFoothillsRubbleRock01 8%
(19, 17, 16)       2955   2.24%  53.48%        25      16.0%         15        3.67   LBlastedForestDirt01 16%, LGlowingSeaRubble01NoGrass 12%, LDirtGravel01 12%
(20, 18, 16)       2761   2.10%  55.58%       197      42.1%         24        3.26   <no BTXT under layers> 42%, LCoastSandDry01 10%, LRubbleRock01 9%
(22, 20, 17)       2751   2.09%  57.67%       331      48.6%         24        2.76   <no BTXT under layers> 49%, LRubbleRock01 19%, LForestFloor01 6%
(23, 21, 18)       2743   2.08%  59.75%       261      46.4%         24        2.97   <no BTXT under layers> 46%, LRubbleRock01 14%, LForestFloor01 6%
(16, 14, 12)       2675   2.03%  61.79%        74      23.0%         15        3.35   LMarshMudFloor01 23%, <no BTXT under layers> 15%, LNFoothillsRubbleRock01 12%
(19, 18, 16)       2167   1.65%  63.43%       419      19.1%         31        4.10   <no BTXT under layers> 19%, LNF_Dirt01 10%, LDirtGravel01 8%
(21, 19, 16)       2106   1.60%  65.03%       296      43.6%         21        2.99   <no BTXT under layers> 44%, LRubbleRock01 16%, LForestFloor01 7%
(24, 22, 19)       2100   1.60%  66.63%       208      56.2%         16        2.24   <no BTXT under layers> 56%, LRubbleRock01 19%, LForestFloor01 7%
(17, 15, 13)       2095   1.59%  68.22%       155      14.8%         29        4.00   LNF_Dirt01 15%, LNFoothillsRubbleRock01 13%, <no BTXT under layers> 11%
(18, 16, 15)       1824   1.39%  69.60%        54      22.2%         18        3.53   LBlastedForestDirt01 22%, LCoastSandWet01 19%, LGlowingSeaRubble01NoGrass 11%
(21, 19, 17)       1800   1.37%  70.97%       168      42.3%         26        3.28   <no BTXT under layers> 42%, LRubbleRock01 12%, LCoastSandDry01 9%
