tile                              score  colour   lumSD     lum tiltDeg
Commonwealth.16.-64.32            735.3   17.32   13.45    89.1   42.44
Commonwealth.16.-64.48            716.8   17.65   13.17    86.0   40.61
Commonwealth.16.-64.64            690.8   16.51   17.09    88.8   41.83
Commonwealth.16.-64.-48           679.0   17.36   13.46    84.6   39.12
Commonwealth.16.-64.16            668.8   16.96   13.15    85.4   39.43
Commonwealth.16.-64.-64           663.3   18.42   10.45    82.3   36.00
Commonwealth.16.-64.-32           654.9   17.85   11.77    82.1   36.70
Commonwealth.16.-64.0             654.9   17.18   12.83    82.0   38.12
Commonwealth.16.-64.-16           654.6   17.74   12.67    82.6   36.91
Commonwealth.16.-48.48            648.9   17.88   11.60    80.6   36.30
Commonwealth.16.-48.-64           645.6   18.52   10.52    79.7   34.86
Commonwealth.16.-80.32            643.3   16.05   17.70    86.3   40.08
Commonwealth.16.-80.48            634.8   14.94   17.22    90.5   42.49
Commonwealth.16.-16.48            627.8   18.67   10.52    76.5   33.62
Commonwealth.16.-32.48            621.9   18.32    8.99    78.0   33.94
Commonwealth.16.-80.16            614.6   15.46   16.56    85.2   39.75
Commonwealth.16.-80.-16           606.5   15.24   16.94    87.5   39.80
Commonwealth.16.0.48              604.2   17.68    9.21    73.2   34.18
Commonwealth.16.-80.0             597.2   14.60   17.52    86.7   40.89
Commonwealth.16.-48.64            591.8   14.49   16.68    88.5   40.84
Commonwealth.16.-80.-32           578.4   15.56   16.31    83.4   37.18
Commonwealth.16.-32.-64           575.9   17.36    8.51    81.5   33.17
Commonwealth.16.-16.64            543.2   15.95   14.04    82.5   34.06
Commonwealth.16.-48.-80           541.3   16.25   13.88    81.7   33.32
Commonwealth.16.-80.64            536.2   13.53   19.20    86.0   39.64
Commonwealth.16.-32.64            534.4   15.71   14.57    82.9   34.03
Commonwealth.16.-80.-48           528.7   15.13   15.78    82.6   34.95
Commonwealth.16.-64.-80           527.5   15.43   15.19    83.4   34.19
Commonwealth.16.0.64              523.6   17.24   11.31    80.3   30.37
Commonwealth.16.-80.-64           519.1   15.94   13.77    80.2   32.56
Commonwealth.16.-16.-64           477.9   15.28   11.02    67.3   31.27
Commonwealth.16.48.-80            466.6   16.40   10.01    66.1   28.45
Commonwealth.16.0.-80             455.5   15.75    8.03    66.3   28.93
Commonwealth.16.32.-64            446.0   13.57    6.33    53.0   32.87
Commonwealth.16.16.-64            426.5   12.87    6.14    51.9   33.14
Commonwealth.16.-80.-80           422.6   15.14   14.04    79.2   27.90
Commonwealth.16.0.-64             408.0   13.44    7.85    54.2   30.36
Commonwealth.16.16.64             391.4   15.46    9.19    76.0   25.32
Commonwealth.16.16.-80            375.1   14.13    5.43    57.5   26.55
Commonwealth.16.-32.-80           362.2   14.58   11.65    75.4   24.84
Commonwealth.16.16.48             309.1   14.23    7.32    70.2   21.72
Commonwealth.16.32.-80            273.1   13.41    8.01    55.4   20.38
Commonwealth.16.64.-80            267.8   13.80    7.46    70.0   19.40
Commonwealth.16.-16.-80           254.5   13.83    7.78    66.9   18.40
Commonwealth.16.48.-64            238.5   13.65    6.65    58.5   17.47
Commonwealth.16.16.-96            187.8   13.64    4.26    63.2   13.77
Commonwealth.16.32.-96            185.5   13.48    4.30    63.4   13.75
Commonwealth.16.80.-80            184.9   13.38    3.17    66.4   13.82
Commonwealth.16.80.64             184.0   13.31    3.49    66.4   13.82
Commonwealth.16.80.80             183.9   13.33    3.36    66.4   13.79
Commonwealth.16.80.48             183.6   13.26    3.33    66.2   13.85
Commonwealth.16.-96.80            183.6   13.32    3.43    65.7   13.78
Commonwealth.16.-64.-96           183.2   13.18    3.19    65.1   13.90
Commonwealth.16.48.32             182.9   13.17    3.17    65.2   13.88
Commonwealth.16.64.48             182.5   13.18    3.49    66.1   13.85
Commonwealth.16.16.80             182.1   13.11    3.09    65.4   13.89
Commonwealth.16.80.0              181.9   13.06    3.16    65.6   13.92
Commonwealth.16.80.-32            181.8   13.22    3.03    65.7   13.75
Commonwealth.16.0.80              181.6   13.27    2.98    65.4   13.69
Commonwealth.16.64.32             181.5   13.24    3.41    65.9   13.71
Commonwealth.16.48.-32            181.5   13.26    3.96    66.2   13.68
Commonwealth.16.-96.48            181.3   13.08    3.46    66.5   13.87
Commonwealth.16.-96.-48           181.3   13.18    3.62    66.9   13.75
Commonwealth.16.48.16             181.1   13.24    3.63    65.6   13.68
Commonwealth.16.64.-64            181.0   13.01    3.25    66.1   13.91
Commonwealth.16.64.-96            180.9   13.20    3.49    65.9   13.71
Commonwealth.16.-96.0             180.8   13.07    3.52    65.6   13.84
Commonwealth.16.64.-48            180.8   13.20    3.48    66.7   13.69
Commonwealth.16.48.0              180.7   13.04    3.38    66.3   13.86
Commonwealth.16.80.-48            180.7   13.16    3.28    66.5   13.73
Commonwealth.16.48.-96            180.7   13.22    3.27    64.8   13.67
Commonwealth.16.48.80             180.5   13.11    3.53    66.1   13.77
Commonwealth.16.-48.80            180.2   13.14    3.26    65.1   13.71
Commonwealth.16.-96.-16           180.1   13.04    3.37    66.9   13.81
Commonwealth.16.32.64             180.1   12.97    3.05    65.7   13.88
Commonwealth.16.-96.-64           180.0   12.98    3.30    65.3   13.86
Commonwealth.16.-64.80            179.9   13.03    3.25    65.4   13.81
Commonwealth.16.80.16             179.7   13.14    3.77    65.9   13.68
Commonwealth.16.80.-64            179.6   13.06    3.31    66.1   13.75
Commonwealth.16.-96.32            179.5   13.09    3.18    65.5   13.71
Commonwealth.16.-16.80            179.3   12.85    3.30    66.2   13.96
Commonwealth.16.0.-96             179.3   13.12    3.83    65.1   13.67
