x,y,lum,meanSat,lumStd,msnRelief,texturedCells
-96,-96,64.92,0.2019,3.56,5.03,0
-96,-92,66.81,0.1896,2.77,4.31,0
-96,-88,64.24,0.1798,2.61,4.16,0
-96,-84,68.29,0.1752,3.68,4.65,0
-96,-80,66.56,0.1775,4.16,4.68,0
-96,-76,63.07,0.1675,2.13,4.31,0
-96,-72,65.72,0.1802,2.69,4.27,0
-96,-68,64.64,0.1723,2.64,4.28,0
-96,-64,65.98,0.1905,2.83,4.21,0
-96,-60,64.40,0.1716,3.08,4.73,0
-96,-56,66.51,0.1677,3.55,4.53,0
-96,-52,66.64,0.1902,4.13,4.10,0
-96,-48,67.36,0.2000,3.08,4.59,0
-96,-44,66.86,0.1925,3.63,4.43,0
-96,-40,64.61,0.1665,2.31,4.54,0
-96,-36,66.98,0.1850,2.74,4.75,0
-96,-32,67.52,0.1704,3.92,4.54,0
-96,-28,68.96,0.1652,4.04,4.74,0
-96,-24,63.27,0.1890,3.21,4.03,0
-96,-20,66.36,0.1924,3.64,4.51,0
-96,-16,67.43,0.1909,2.93,4.14,0
-96,-12,65.32,0.1805,2.95,4.23,0
-96,-8,67.66,0.1747,4.15,4.23,0
-96,-4,66.34,0.1869,2.69,4.54,0
-96,0,65.97,0.1669,3.45,4.79,0
-96,4,68.51,0.1823,2.66,4.53,0
-96,8,63.94,0.1662,3.43,4.63,0
-96,12,65.42,0.1934,3.66,4.52,0
-96,16,64.92,0.1828,2.62,4.23,0
-96,20,65.08,0.1905,3.40,4.57,0
-96,24,65.89,0.1870,3.75,4.12,0
-96,28,65.05,0.1975,3.99,3.91,0
-96,32,65.51,0.1813,2.92,4.06,0
-96,36,66.69,0.1913,3.14,4.35,0
-96,40,66.22,0.1858,3.55,4.39,0
-96,44,64.99,0.1867,3.73,4.11,0
-96,48,66.22,0.1792,2.68,4.43,0
-96,52,65.92,0.1763,4.05,4.47,0
-96,56,66.99,0.1829,3.38,4.09,0
-96,60,67.45,0.1915,3.26,4.57,0
-96,64,65.67,0.1875,3.45,4.62,0
-96,68,63.92,0.1751,2.31,4.13,0
-96,72,67.12,0.1817,2.82,4.16,0
-96,76,65.91,0.1939,3.82,4.15,0
-96,80,64.98,0.1990,3.23,4.42,0
-96,84,65.09,0.1857,3.01,4.25,0
-96,88,67.55,0.1904,2.55,4.16,0
-96,92,65.22,0.1865,3.19,5.24,0
-92,-96,65.81,0.1815,2.99,3.68,0
-92,-92,65.21,0.1795,2.68,2.87,0
-92,-88,65.78,0.1831,2.38,3.25,0
-92,-84,68.83,0.1762,4.28,3.03,0
-92,-80,68.93,0.1877,2.92,3.31,0
-92,-76,66.52,0.1783,3.57,3.61,0
-92,-72,64.17,0.1662,2.49,3.42,0
-92,-68,63.65,0.1609,2.88,3.61,0
-92,-64,64.12,0.1756,2.40,2.84,0
-92,-60,64.49,0.1901,2.83,3.50,0
-92,-56,64.61,0.1752,3.04,3.08,0
-92,-52,66.46,0.1689,3.79,3.13,0
-92,-48,68.74,0.1732,3.63,3.66,0
-92,-44,70.02,0.1717,2.87,3.19,0
-92,-40,66.20,0.1872,3.27,3.66,0
-92,-36,66.21,0.1853,2.77,3.31,0
-92,-32,67.34,0.1796,3.36,3.50,0
-92,-28,69.37,0.1821,4.03,3.61,0
-92,-24,65.39,0.1854,3.44,3.20,0
-92,-20,68.44,0.1803,3.19,2.99,0
-92,-16,67.92,0.1679,3.41,3.38,0
-92,-12,67.34,0.1727,3.49,3.25,0
-92,-8,69.71,0.1814,3.78,2.98,0
-92,-4,68.47,0.1862,3.17,3.64,0
-92,0,66.49,0.1825,3.08,3.35,0
-92,4,69.13,0.1901,2.57,3.08,0
-92,8,65.05,0.1824,3.81,3.40,0
-92,12,67.57,0.1878,3.22,3.22,0
-92,16,65.92,0.1677,3.66,3.11,0
-92,20,64.97,0.1639,3.05,3.03,0
-92,24,68.59,0.1808,3.29,2.96,0
-92,28,67.84,0.1947,2.77,3.24,0
-92,32,67.56,0.1871,3.08,3.53,0
-92,36,63.77,0.1731,2.55,3.18,0
-92,40,68.44,0.1747,3.27,3.23,0
-92,44,67.53,0.1890,3.31,2.60,0
-92,48,68.18,0.1849,2.50,3.03,0
