TILING2 step 0 -- why the content floor is 5.25

mip-3 (64x64) luminance SD of all 2304 shipped Commonwealth.4 colour sheets.
Two populations; the floor is the midpoint of the emptiest bin between them.

      bin  count
 0.0- 0.5      0 
 0.5- 1.0      0 
 1.0- 1.5      0 
 1.5- 2.0      6 
 2.0- 2.5     45 ####
 2.5- 3.0    239 #######################
 3.0- 3.5    469 ##############################################
 3.5- 4.0    307 ##############################
 4.0- 4.5     71 #######
 4.5- 5.0     40 ####
 5.0- 5.5     31 ###
 5.5- 6.0     53 #####
 6.0- 6.5     45 ####
 6.5- 7.0     47 ####
 7.0- 7.5     59 #####
 7.5- 8.0     57 #####
 8.0- 8.5     77 #######
 8.5- 9.0     96 #########
 9.0- 9.5     69 ######
 9.5-10.0     94 #########
10.0-10.5     69 ######
10.5-11.0     62 ######
11.0-11.5     53 #####
11.5-12.0     48 ####
12.0-12.5     42 ####
12.5-13.0     38 ###
13.0-13.5     37 ###
13.5-14.0     24 ##
14.0-14.5     26 ##
14.5-15.0     21 ##
15.0-15.5      7 
15.5-16.0     15 #
16.0-16.5     19 #
16.5-17.0     15 #
17.0-17.5      8 
17.5-18.0      5 
18.0-18.5      5 
18.5-19.0      1 
19.0-19.5      1 
19.5-20.0      2 

under 5.00 1177   5.00..5.50 31   at or above 5.25 1113
