TILING4 -- smoke test of the candidate samplers, chunk (-20,24)

repeat: amplitude at 10.667 texels, 8-bit luminance; TILING2 ceilings
        0.264 absolute and 0.448 over the sheet`s own null floor.
grain : hp SD (everything finer than 5 texels) and mean local variance;
        vanilla`s values are the target, not zero.
swirl : this lane`s frozen law; this sheet`s ceiling is 2.3927.

sampler                          SD  repeat   floor   ratio |  grain localvar |   swirl   ratio verdict
vanilla sheet                  9.48   0.201   0.449   0.448 |  4.476   19.81 |  0.1712  1.9940 
rung (footprint)              16.81   1.152   1.789   0.644 |  3.409   12.93 |  0.1872  1.4558 
TILING3 proposal              17.25   0.230   1.836   0.125 |  4.935   25.01 |  0.2431  2.7754 repeat ok, SWIRL RED
H1 hex size=341               16.79   0.247   1.793   0.137 |  3.480   13.38 |  0.1854  1.5287 repeat ok, swirl ok
H1 hex size=683               16.78   0.317   1.755   0.181 |  3.471   13.35 |  0.1899  1.4951 REPEAT RED, swirl ok
H1 hex size=1024              16.78   0.359   1.784   0.201 |  3.485   13.38 |  0.1970  1.4097 REPEAT RED, swirl ok
H1 hex 683 no varnorm         16.67   0.266   1.750   0.152 |  2.752    9.52 |  0.2437  1.8446 REPEAT RED, swirl ok
H2 cell=341 b=1 rot none      16.79   0.139   1.816   0.076 |  3.482   13.38 |  0.1821  1.5170 repeat ok, swirl ok
H2 cell=683 b=1 rot none      16.79   0.286   1.769   0.162 |  3.477   13.34 |  0.1875  1.4308 REPEAT RED, swirl ok
H2 cell=683 b=.25 rot none    16.82   0.264   1.767   0.149 |  3.483   13.37 |  0.1746  1.3846 repeat ok, swirl ok
H2 cell=683 b=1 rot quad      16.78   0.282   1.788   0.158 |  3.470   13.31 |  0.1758  1.3813 REPEAT RED, swirl ok
H2 cell=683 b=1 rot free      16.79   0.195   1.750   0.111 |  3.452   13.34 |  0.1679  1.5293 repeat ok, swirl ok

bake seconds per sheet: H1hex 5.0, H1hex 1.5, H1hex 1.4, H1hex 1.4, H2cell=341 2.0, H2cell=683 1.8, H2cell=683 1.7, H2cell=683 1.9, H2cell=683 1.8
